ID	price	bedrooms	bathrooms	sqft_living	sqft_lot
1	221900	3	1	1180	5650
2	538000	3	2.25	2570	7242
3	180000	2	1	770	10000
4	510000	3	2	1680	8080
5	1230000	4	4.5	5420	101930
6	257500	3	2.25	1715	6819
7	291850	3	1.5	1060	9711
8	229500	3	1	1780	7470
9	323000	3	2.5	1890	6560
10	662500	3	2.5	3560	9796
11	468000	2	1	1160	6000
12	310000	3	1	1430	19901
13	400000	3	1.75	1370	9680
14	530000	5	2	1810	4850
15	650000	4	3	2950	5000
16	395000	3	2	1890	14040
17	485000	4	1	1600	4300
18	189000	2	1	1200	9850
19	385000	4	1.75	1620	4980
20	2000000	3	2.75	3050	44867
21	285000	5	2.5	2270	6300
22	252700	2	1.5	1070	9643
23	329000	3	2.25	2450	6500
24	233000	3	2	1710	4697
25	937000	3	1.75	2450	2691
26	667000	3	1	1400	1581
27	438000	3	1.75	1520	6380
28	719000	4	2.5	2570	7173
29	280000	2	1.5	1190	1265
30	687500	4	1.75	2330	5000
31	535000	3	1	1090	3000
32	322500	4	2.75	2060	6659
33	696000	3	2.5	2300	3060
34	550000	4	1	1660	34848
35	640000	4	2	2360	6000
36	605000	4	2.5	2620	7553
37	625000	4	2.5	2570	5520
38	775000	4	2.25	4220	24186
39	861990	5	2.75	3595	5639
40	685000	3	1	1570	2280
41	309000	3	1	1280	9656
42	488000	3	2.5	3160	13603
43	210490	3	1	990	8528
44	785000	4	2.5	2290	13416
45	1350000	3	2.5	2753	65005
46	228000	3	1	1190	9199
47	345000	5	2.5	3150	9134
48	600000	3	1.75	1410	4080
49	585000	2	1.75	1980	8550
50	885000	4	2.5	2830	5000
51	292500	4	2.5	2250	4495
52	951000	5	3.25	3250	14342
53	289000	3	1.75	1260	8400
54	505000	3	1.75	2519	8690
55	425000	3	2.25	1660	6000
56	975000	4	2.5	2720	11049
57	287000	4	2.5	2240	4648
58	1040000	5	3.25	4770	50094
59	325000	3	2	1260	5612
60	360000	4	2.5	2380	5000
61	832500	4	4	3430	35102
62	380000	4	1.75	1760	7300
63	480000	3	1	1040	5060
64	720000	4	2.5	3450	39683
65	360000	4	2.5	1900	5889
66	355000	2	1	2020	6720
67	315000	3	1	960	6634
68	940000	3	1.5	2140	3600
69	305000	5	2.25	2660	8400
70	461000	3	3.25	2770	6278
71	215000	2	2.25	1610	2040
72	335000	2	1.75	1030	1066
73	1100000	5	2.75	3520	6353
74	153000	3	1	1200	10500
75	430000	3	1.5	1580	5000
76	700000	3	1.5	1580	5000
77	199000	4	1.5	1160	6400
78	314000	3	1.75	1810	41800
79	437500	3	2.5	2320	36847
80	555000	3	2	1980	3478
81	699950	3	2.25	2190	107593
82	1090000	3	2.5	2920	8113
83	460000	3	1	1670	4005
84	188500	2	1.75	1240	2493
85	597750	4	2.5	2310	9624
86	570000	3	1.75	1260	3328
87	329950	3	1.75	2080	5969
88	480000	4	2.5	3230	16171
89	740500	3	3.5	4380	6350
90	205425	2	1	880	6780
91	171800	4	2	1570	9600
92	535000	4	1	1610	2982
93	395000	2	1	770	6000
94	445000	4	1.75	2100	4400
95	770000	3	2.25	2910	10204
96	445000	3	2.25	2100	8201
97	260000	4	2.25	2160	8811
98	822500	5	3.5	2320	4960
99	430000	4	2.5	2070	4310
100	660500	4	2.25	2010	9603
101	784000	3	3.5	3950	111078
102	220000	4	1.75	2020	7840
103	519950	3	2.25	1170	1249
104	527700	5	2.5	2820	9375
105	205000	3	1	1610	8579
106	420000	3	1	1060	8097
107	500000	4	2.25	2030	8517
108	890000	4	1	2550	4000
109	430000	2	2.5	2420	60984
110	511000	3	1	1430	3455
111	532170	3	2	1360	3090
112	2250000	4	3.25	5180	19850
113	350000	1	1	700	5100
114	650000	5	3.5	3960	25245
115	320000	4	2.75	2640	7500
116	247000	3	2	1270	7198
117	320000	4	1.75	1760	11180
118	255000	5	2.25	2060	8632
119	438000	3	1.75	1780	9660
120	441000	3	2.75	1910	7280
121	420000	3	2	2020	38332
122	653000	3	2.5	2680	9750
123	272000	3	1.75	2160	7140
124	917500	4	2.5	3880	35003
125	673000	4	2.25	2590	8190
126	425000	3	2.5	1120	1100
127	399950	5	2.75	1970	5400
128	385000	3	1	1220	4800
129	269950	3	1.5	1950	7560
130	330000	2	1	1350	8220
131	470000	4	3	2380	5125
132	163500	2	1.5	1050	3419
133	1100000	5	3	4090	12850
134	269000	4	1.75	1490	10000
135	615000	4	1	1330	2400
136	305000	3	1.75	1650	9480
137	799000	3	2.5	2140	9897
138	400000	3	2.5	2180	7508
139	230000	3	1	1060	10228
140	256883	3	2.5	1690	5025
141	465000	3	2.5	2150	4084
142	440000	3	2.5	1910	66211
143	385000	3	1.75	1350	155073
144	210000	3	1	860	11725
145	297000	3	2.5	1940	14952
146	470000	3	1	1010	5000
147	274250	3	1	910	8450
148	840000	4	1.75	2480	11010
149	677900	3	2.5	2440	4587
150	425000	3	1	1010	5864
151	180250	2	0.75	900	9600
152	464000	6	3	2300	3404
153	465000	3	2.5	2714	17936
154	477000	4	2.75	1720	6270
155	280000	2	1	850	16400
156	1510000	5	3	3300	33474
157	445838	3	2.5	2250	5692
158	1070000	2	2.25	3900	14864
159	279950	3	2	1750	9750
160	527000	4	2.25	2330	19436
161	328000	3	2.25	2020	8379
162	390000	3	2.25	1250	7500
163	479950	2	2	1510	6516
164	264950	4	2.25	1720	9753
165	235000	3	1	1430	15246
166	315000	6	2.75	2940	7350
167	213000	2	1	1000	10200
168	475000	3	1.5	2480	5280
169	1030000	5	4	3760	28040
170	416000	3	2	2220	94300
171	410000	4	1	1970	4740
172	472000	6	2.5	4410	14034
173	225000	3	1.75	1430	8505
174	210000	2	1	830	6000
175	225000	3	1	1300	8316
176	480000	2	1	1030	3060
177	363000	3	2.5	2740	11872
178	2400000	4	2.5	3650	8354
179	181000	2	1.5	720	5120
180	250000	4	2	2010	7312
181	481000	3	1.75	1560	3000
182	260000	3	2	1810	7209
183	455000	4	2.5	3360	7685
184	415000	3	2.25	1510	36224
185	349500	3	1	1400	3538
186	245000	3	2.5	1730	7442
187	385000	4	1.75	2360	7620
188	315000	3	1.75	1580	11455
189	237000	3	1.75	1270	8470
190	525000	3	2.25	2100	40510
191	425000	2	1	770	5040
192	369900	1	0.75	760	10079
193	285000	3	1	1120	10701
194	415000	2	1	1070	4500
195	272500	3	2.5	2070	9900
196	2900000	4	3.25	5050	20100
197	436000	2	1	1040	7538
198	236000	3	1	1300	5898
199	331000	3	1.75	1080	1306
200	365000	3	2.5	2653	4510
201	450000	3	2	2290	16258
202	455000	4	2.5	2210	49375
203	170000	2	1	860	5265
204	2050000	5	3	3830	8480
205	780000	4	2.5	3500	7048
206	330000	3	3	2420	13959
207	370000	4	2.5	2720	8666
208	467000	5	2.25	2500	13500
209	405000	3	1.75	1670	6720
210	675000	5	2.25	2900	10300
211	500000	2	1	1640	14100
212	389999	4	2.5	1890	15770
213	360000	4	2.5	2160	9528
214	550000	3	2	1970	4166
215	879000	4	2.5	3360	22111
216	265000	3	2	1320	8959
217	446500	3	2.5	2650	7286
218	267500	3	1.75	1590	11914
219	3080000	4	5	4550	18641
220	335000	3	2.5	2440	7632
221	576000	3	2.5	1940	9000
222	208633	3	2.5	2040	3810
223	315000	3	2.25	2200	8750
224	725000	3	1.75	1920	3300
225	550000	4	2.75	1800	7750
226	550700	2	1	1010	5000
227	834000	4	2.5	2370	4000
228	2380000	5	2.5	3650	9050
229	1380000	4	3.25	4290	12103
230	1400000	4	3.25	4290	12103
231	305000	4	2.25	1950	7700
232	487000	3	2	2590	14052
233	390000	3	2.5	1930	64904
234	548000	2	1	1470	3864
235	268750	4	1	800	8775
236	819900	5	2.75	3150	7119
237	520000	3	2.25	2030	16200
238	230000	3	2	1450	11204
239	274975	3	2.5	3030	45004
240	740000	4	2	2050	4400
241	186375	3	1	1000	7636
