Sepal width	Petal length	Species
3.2	4.7	I. versicolor
3.2	4.5	I. versicolor
3.1	4.9	I. versicolor
2.3	4	I. versicolor
2.8	4.6	I. versicolor
2.8	4.5	I. versicolor
3.3	4.7	I. versicolor
2.4	3.3	I. versicolor
2.9	4.6	I. versicolor
2.7	3.9	I. versicolor
2	3.5	I. versicolor
3	4.2	I. versicolor
2.2	4	I. versicolor
2.9	4.7	I. versicolor
2.9	3.6	I. versicolor
3.1	4.4	I. versicolor
3	4.5	I. versicolor
2.7	4.1	I. versicolor
2.2	4.5	I. versicolor
2.5	3.9	I. versicolor
3.2	4.8	I. versicolor
2.8	4	I. versicolor
2.5	4.9	I. versicolor
2.8	4.7	I. versicolor
2.9	4.3	I. versicolor
3	4.4	I. versicolor
2.8	4.8	I. versicolor
3	5	I. versicolor
2.9	4.5	I. versicolor
2.6	3.5	I. versicolor
2.4	3.8	I. versicolor
2.4	3.7	I. versicolor
2.7	3.9	I. versicolor
2.7	5.1	I. versicolor
3	4.5	I. versicolor
3.4	4.5	I. versicolor
3.1	4.7	I. versicolor
2.3	4.4	I. versicolor
3	4.1	I. versicolor
2.5	4	I. versicolor
3.2	5.1	I. virginica
2.7	5.3	I. virginica
3	5.5	I. virginica
2.5	5	I. virginica
2.8	5.1	I. virginica
3.2	5.3	I. virginica
3	5.5	I. virginica
3.8	6.7	I. virginica
2.6	6.9	I. virginica
2.2	5	I. virginica
3.2	5.7	I. virginica
2.8	4.9	I. virginica
2.8	6.7	I. virginica
2.7	4.9	I. virginica
3.3	5.7	I. virginica
3.2	6	I. virginica
2.8	4.8	I. virginica
3	4.9	I. virginica
2.8	5.6	I. virginica
3	5.8	I. virginica
2.8	6.1	I. virginica
3.8	6.4	I. virginica
2.8	5.6	I. virginica
2.8	5.1	I. virginica
2.6	5.6	I. virginica
3	6.1	I. virginica
3.4	5.6	I. virginica
3.1	5.5	I. virginica
3	4.8	I. virginica
3.1	5.4	I. virginica
3.1	5.6	I. virginica
3.1	5.1	I. virginica
2.7	5.1	I. virginica
3.2	5.9	I. virginica
3.3	5.7	I. virginica
3	5.2	I. virginica
2.5	5	I. virginica
3	5.2	I. virginica
3.4	5.4	I. virginica
3	5.1	I. virginica
